"StateFIPS","State","ZCTA","ZIP Code Tabulation Areas","Year","Value","Data Comment",
"36","New York","3606390","New York - 3606390 - ZCTA","2024","0.5197","",
"36","New York","3610001","New York - 3610001 - ZCTA","2024","0.3432","",
"36","New York","3610002","New York - 3610002 - ZCTA","2024","0.7583","",
"36","New York","3610003","New York - 3610003 - ZCTA","2024","0.2468","",
"36","New York","3610004","New York - 3610004 - ZCTA","2024","0.3075","",
"36","New York","3610005","New York - 3610005 - ZCTA","2024","0.2173","",
"36","New York","3610006","New York - 3610006 - ZCTA","2024","0.1474","",
"36","New York","3610007","New York - 3610007 - ZCTA","2024","0.3537","",
"36","New York","3610009","New York - 3610009 - ZCTA","2024","0.4297","",
"36","New York","3610010","New York - 3610010 - ZCTA","2024","0.2569","",
"36","New York","3610011","New York - 3610011 - ZCTA","2024","0.2660","",
"36","New York","3610012","New York - 3610012 - ZCTA","2024","0.2921","",
"36","New York","3610013","New York - 3610013 - ZCTA","2024","0.3954","",
"36","New York","3610014","New York - 3610014 - ZCTA","2024","0.2254","",
"36","New York","3610016","New York - 3610016 - ZCTA","2024","0.2475","",
"36","New York","3610017","New York - 3610017 - ZCTA","2024","0.2862","",
"36","New York","3610018","New York - 3610018 - ZCTA","2024","0.3062","",
"36","New York","3610019","New York - 3610019 - ZCTA","2024","0.3217","",
"36","New York","3610021","New York - 3610021 - ZCTA","2024","0.2899","",
"36","New York","3610022","New York - 3610022 - ZCTA","2024","0.2507","",
"36","New York","3610023","New York - 3610023 - ZCTA","2024","0.3121","",
"36","New York","3610024","New York - 3610024 - ZCTA","2024","0.2770","",
"36","New York","3610025","New York - 3610025 - ZCTA","2024","0.4472","",
"36","New York","3610026","New York - 3610026 - ZCTA","2024","0.6441","",
"36","New York","3610027","New York - 3610027 - ZCTA","2024","0.7179","",
"36","New York","3610028","New York - 3610028 - ZCTA","2024","0.2460","",
"36","New York","3610029","New York - 3610029 - ZCTA","2024","0.8617","",
"36","New York","3610030","New York - 3610030 - ZCTA","2024","0.8378","",
"36","New York","3610031","New York - 3610031 - ZCTA","2024","0.7803","",
"36","New York","3610032","New York - 3610032 - ZCTA","2024","0.7283","",
"36","New York","3610033","New York - 3610033 - ZCTA","2024","0.5456","",
"36","New York","3610034","New York - 3610034 - ZCTA","2024","0.7369","",
"36","New York","3610035","New York - 3610035 - ZCTA","2024","0.9362","",
"36","New York","3610036","New York - 3610036 - ZCTA","2024","0.4693","",
"36","New York","3610037","New York - 3610037 - ZCTA","2024","0.8295","",
"36","New York","3610038","New York - 3610038 - ZCTA","2024","0.4423","",
"36","New York","3610039","New York - 3610039 - ZCTA","2024","0.8527","",
"36","New York","3610040","New York - 3610040 - ZCTA","2024","0.7630","",
"36","New York","3610044","New York - 3610044 - ZCTA","2024","0.3403","",
"36","New York","3610065","New York - 3610065 - ZCTA","2024","0.2739","",
"36","New York","3610069","New York - 3610069 - ZCTA","2024","0.1819","",
"36","New York","3610075","New York - 3610075 - ZCTA","2024","0.2540","",
"36","New York","3610119","New York - 3610119 - ZCTA","2024","0.5654","",
"36","New York","3610128","New York - 3610128 - ZCTA","2024","0.2682","",
"36","New York","3610162","New York - 3610162 - ZCTA","2024","0.3619","",
"36","New York","3610280","New York - 3610280 - ZCTA","2024","0.1577","",
"36","New York","3610282","New York - 3610282 - ZCTA","2024","0.1482","",
"36","New York","3610301","New York - 3610301 - ZCTA","2024","0.7138","",
"36","New York","3610302","New York - 3610302 - ZCTA","2024","0.6708","",
"36","New York","3610303","New York - 3610303 - ZCTA","2024","0.6819","",
"36","New York","3610304","New York - 3610304 - ZCTA","2024","0.6678","",
"36","New York","3610305","New York - 3610305 - ZCTA","2024","0.3904","",
"36","New York","3610306","New York - 3610306 - ZCTA","2024","0.2347","",
"36","New York","3610307","New York - 3610307 - ZCTA","2024","0.0677","",
"36","New York","3610308","New York - 3610308 - ZCTA","2024","0.1269","",
"36","New York","3610309","New York - 3610309 - ZCTA","2024","0.0506","",
"36","New York","3610310","New York - 3610310 - ZCTA","2024","0.6408","",
"36","New York","3610312","New York - 3610312 - ZCTA","2024","0.0834","",
"36","New York","3610314","New York - 3610314 - ZCTA","2024","0.2298","",
"36","New York","3610451","New York - 3610451 - ZCTA","2024","0.8781","",
"36","New York","3610452","New York - 3610452 - ZCTA","2024","0.8861","",
"36","New York","3610453","New York - 3610453 - ZCTA","2024","0.8914","",
"36","New York","3610454","New York - 3610454 - ZCTA","2024","0.9159","",
"36","New York","3610455","New York - 3610455 - ZCTA","2024","0.8845","",
"36","New York","3610456","New York - 3610456 - ZCTA","2024","0.9109","",
"36","New York","3610457","New York - 3610457 - ZCTA","2024","0.9014","",
"36","New York","3610458","New York - 3610458 - ZCTA","2024","0.8877","",
"36","New York","3610459","New York - 3610459 - ZCTA","2024","0.8881","",
"36","New York","3610460","New York - 3610460 - ZCTA","2024","0.8937","",
"36","New York","3610461","New York - 3610461 - ZCTA","2024","0.6156","",
"36","New York","3610462","New York - 3610462 - ZCTA","2024","0.7556","",
